model_id,cell_line_name,oncotree_lineage,oncotree_primary_disease,oncotree_subtype,median_l2fc,growth_fraction,c604_sensitivity
ACH-000025,CH-157MN,CNS/Brain,Meningothelial Tumor,Meningioma,-1.65362342048989,0.3178408759222661,-0.3178408759222661
ACH-000499,EW8,Bone,Ewing Sarcoma,Ewing Sarcoma,-3.45361140724468,0.09127658288278874,-0.09127658288278874
ACH-000831,HEC-50B,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,-0.270089381377824,0.829268167369657,-0.829268167369657
ACH-000865,KYSE-450,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,-1.46555458632853,0.3620963184539508,-0.3620963184539508
ACH-000992,BICR 18,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,-0.577535701363275,0.6701074253725657,-0.6701074253725657
ACH-001001,143B,Bone,Osteosarcoma,Osteosarcoma,-1.50630174265661,0.35201242490023754,-0.35201242490023754
ACH-001022,CB-AGPN,Bone,Ewing Sarcoma,Ewing Sarcoma,-4.60646712927366,0.04105019458097495,-0.04105019458097495
ACH-001050,CW9019,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,-0.231678186602368,0.8516436576454406,-0.8516436576454406
ACH-001333,C-33 A,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,-1.38626781574478,0.38255317032732167,-0.38255317032732167
ACH-001391,SUM-159PT,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,-0.754838898472733,0.5926125570836718,-0.5926125570836718
ACH-001398,SW 156,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,-0.581295942467019,0.6683631311832007,-0.6683631311832007
ACH-001401,SW-13,Adrenal Gland,Adrenocortical Carcinoma,Adrenocortical Carcinoma,-0.96594653062762,0.5119424235468082,-0.5119424235468082
ACH-001494,EGI-1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,-0.829133760612747,0.5628671039799338,-0.5628671039799338
ACH-001518,HEC-116,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,-0.863404755306876,0.5496538448889903,-0.5496538448889903
ACH-001530,JEG-3,Uterus,Gestational Trophoblastic Disease,Choriocarcinoma,-1.19279948650142,0.4374531778180965,-0.4374531778180965
ACH-001536,KKU-100,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,-3.05224624929778,0.12055419428226158,-0.12055419428226158
ACH-001543,KOSC-2,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,-1.16655105623738,0.44548505660405174,-0.44548505660405174
ACH-001578,NCCIT,Testis,Non-Seminomatous Germ Cell Tumor,Embryonal Carcinoma,-0.457456690160583,0.7282689843627511,-0.7282689843627511
ACH-001607,NOZ,Biliary Tract,Intracholecystic Papillary Neoplasm,"Gallbladder Adenocarcinoma, NOS",-1.91305083822322,0.2655304395988147,-0.2655304395988147
ACH-001653,SK-GT-2,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,-0.404980955304966,0.7552462625528491,-0.7552462625528491
ACH-001670,TASK1,CNS/Brain,Embryonal Tumor,Primitive Neuroectodermal Tumor,-1.44613547688691,0.36700319380045626,-0.36700319380045626
ACH-001850,G415,Biliary Tract,Intracholecystic Papillary Neoplasm,"Gallbladder Adenocarcinoma, NOS",-1.64970758608624,0.31870474723592795,-0.31870474723592795
ACH-001854,MMNK-1,Biliary Tract,Non-Cancerous,"Immortalized Cholangiocyte, Highly Differentiated",0.636865806292253,1.5549474300633501,-1.5549474300633501
ACH-001960,CC-SW-1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,0.0084989389057235,1.0059084016962394,-1.0059084016962394
ACH-000283,A1207,CNS/Brain,Diffuse Glioma,Glioblastoma,-1.15853950860632,0.44796579767464656,-0.44796579767464656
ACH-000473,RT-112,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,-0.267000727637273,0.831045442447692,-0.831045442447692
ACH-000550,IGR-39,Skin,Melanoma,Melanoma,-0.732610544344833,0.6018139508034956,-0.6018139508034956
ACH-000597,TTC-709,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,-1.32705039315732,0.39858231559668333,-0.39858231559668333
ACH-000757,A427,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,-0.446805202757218,0.7336657272607359,-0.7336657272607359
ACH-000957,LS 180,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,-1.93580752088478,0.2613748944111385,-0.2613748944111385
ACH-001096,JR,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,-0.277002589464384,0.8253039271898671,-0.8253039271898671
ACH-001193,SK-PN-DW,Bone,Ewing Sarcoma,Ewing Sarcoma,-0.988301244310081,0.5040709630914936,-0.5040709630914936
ACH-001274,SW982,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,-2.04457869071669,0.2423932298343695,-0.2423932298343695
ACH-001356,MB-1,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,-0.957713236362113,0.5148723724227475,-0.5148723724227475
ACH-001411,UM-UC-5,Bladder/Urinary Tract,Bladder Squamous Cell Carcinoma,Bladder Squamous Cell Carcinoma,-0.0155705878240512,0.9892653232714601,-0.9892653232714601
