library,profile_c604,term,overlap_size_c604,mean_r_c604,median_r_c604,auc_c604,p_value_c604,fdr_c604,rank_positive_c604,profile_mastl,overlap_size_mastl,mean_r_mastl,median_r_mastl,auc_mastl,p_value_mastl,fdr_mastl,rank_positive_mastl
Reactome_2022,C-604 2 uM endpoint,Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568,31,0.04375041679980901,0.04810547617175028,0.7637764512748078,1.8597059804117887e-07,1.6249181003848005e-05,16,MASTL dependency profile,31,0.025576666810370303,0.015591377001430451,0.6258229816873073,0.0076645343968161795,0.08572015269399215,125
Reactome_2022,C-604 2 uM endpoint,Impaired BRCA2 Binding To PALB2 R-HSA-9709603,23,0.04292090275275425,0.043101744136967345,0.7414432697514588,3.057386335635745e-05,0.0015830467026736188,27,MASTL dependency profile,23,0.03049131897286966,0.019870926407215682,0.6462269999974694,0.007599770006852666,0.08568127798048408,124
Reactome_2022,C-604 2 uM endpoint,Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192,24,0.041671544346419814,0.04016510211352487,0.7374716256329666,2.823718479996844e-05,0.001579023374014235,25,MASTL dependency profile,24,0.029651432939007922,0.017731151704323066,0.6433692277842452,0.007523049214691047,0.08568127798048408,122
Reactome_2022,C-604 2 uM endpoint,Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554,26,0.04082954841805851,0.04016510211352487,0.7383724314570115,1.2929318052149566e-05,0.0008607231731859569,21,MASTL dependency profile,26,0.029884237534517934,0.017731151704323066,0.6442609957279883,0.005446117436725153,0.0698502034545116,109
Reactome_2022,C-604 2 uM endpoint,Mitochondrial Translation Elongation R-HSA-5389840,81,0.03720881873579714,0.039694388064450546,0.7946726996403863,2.476047989564272e-20,3.461515089410852e-17,1,MASTL dependency profile,81,0.021075829558378598,0.02658706240696204,0.6380235089184066,8.81894764436534e-06,0.00047418803103164406,26
Reactome_2022,C-604 2 uM endpoint,Mitochondrial Translation Termination R-HSA-5419276,81,0.03600889559239415,0.038710682597545155,0.7870074777728753,2.1955433643802696e-19,1.5346848117018084e-16,2,MASTL dependency profile,81,0.020277333739068447,0.02563793665430111,0.6339650012293045,1.5456151298960084e-05,0.0007202566505315398,30
Reactome_2022,C-604 2 uM endpoint,Mitochondrial Translation Initiation R-HSA-5368286,81,0.034921777916901674,0.037307731255994396,0.7778815956811752,2.7423363418243165e-18,9.584465514675987e-16,4,MASTL dependency profile,81,0.020125018677565946,0.02563793665430111,0.6320146968592529,2.0130224446223684e-05,0.0008527895083582034,33
Reactome_2022,C-604 2 uM endpoint,Nonhomologous End-Joining (NHEJ) R-HSA-5693571,43,0.03453635021560183,0.03444970154235707,0.7208963556586618,2.7022607663107847e-07,2.0987558618347096e-05,18,MASTL dependency profile,43,0.02633436522859404,0.019870926407215682,0.6304004618368041,0.0015465860112092637,0.026049725827356034,83
Reactome_2022,C-604 2 uM endpoint,Mitochondrial Translation R-HSA-5368287,87,0.03431456706135162,0.036659167945272186,0.7730136859365621,6.9177909088663155e-19,3.223690563531703e-16,3,MASTL dependency profile,87,0.020058383435345578,0.02563793665430111,0.6303802296433135,1.3233271198655155e-05,0.0006607183262757109,28
Reactome_2022,C-604 2 uM endpoint,Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190,39,0.031104106327865776,0.022466867998709835,0.6849227901307594,3.223499210720325e-05,0.0016094471059239339,28,MASTL dependency profile,39,0.024713576345721792,0.0197656741429776,0.6334222142553049,0.0019695968811220058,0.03103257550084786,87
