gene,profile,n_models,pearson_r,p_value,fdr,rank_positive
MASTL,C-604 2 uM endpoint vs dependency strength,689,0.20449071289671092,6.121472087756711e-08,0.001053199272698542,1
SLC22A17,C-604 2 uM endpoint vs dependency strength,689,0.14720683279064772,0.00010526045515024233,0.2848386926308779,2
WRAP53,C-604 2 uM endpoint vs dependency strength,689,0.1450877069250312,0.00013253268963619492,0.2848386926308779,3
MBTPS2,C-604 2 uM endpoint vs dependency strength,689,0.1405366874268821,0.0002150873464120121,0.2848386926308779,4
MRE11,C-604 2 uM endpoint vs dependency strength,689,0.13779214940624251,0.00028603458166609334,0.2848386926308779,5
MDM4,C-604 2 uM endpoint vs dependency strength,689,0.13731011708471522,0.0003005586843316274,0.2848386926308779,6
CCDC78,C-604 2 uM endpoint vs dependency strength,689,0.1352507640576438,0.00037071914685570467,0.2848386926308779,7
UBE2T,C-604 2 uM endpoint vs dependency strength,689,0.13485426594426433,0.0003858713378665547,0.2848386926308779,8
TEN1,C-604 2 uM endpoint vs dependency strength,689,0.13443208239878168,0.0004026386649220783,0.2848386926308779,9
TUBB3,C-604 2 uM endpoint vs dependency strength,689,0.13365083726297153,0.0004354710352450873,0.2848386926308779,10
HSPA14,C-604 2 uM endpoint vs dependency strength,689,0.13340805230728536,0.00044617158831031185,0.2848386926308779,11
CCDC106,C-604 2 uM endpoint vs dependency strength,689,0.1324840391088144,0.0004891764895056359,0.28896935357199194,12
RALGAPA1,C-604 2 uM endpoint vs dependency strength,689,0.1321856109597902,0.0005038698405788874,0.28896935357199194,13
RPL7,C-604 2 uM endpoint vs dependency strength,689,0.13166296489272422,0.0005305961099052422,0.2944808409974094,14
MYBL2,C-604 2 uM endpoint vs dependency strength,689,0.13052164059231086,0.0005936052447740735,0.2966074600359473,15
FLI1,C-604 2 uM endpoint vs dependency strength,689,0.1300525372056315,0.0006214640961040765,0.2966074600359473,16
DNAL4,C-604 2 uM endpoint vs dependency strength,689,0.12945411684928856,0.0006587650755936958,0.2966074600359473,17
TMEM87A,C-604 2 uM endpoint vs dependency strength,689,0.12924404339702272,0.0006723447219646582,0.2966074600359473,18
PEDS1,C-604 2 uM endpoint vs dependency strength,689,0.12864914651772552,0.0007122220514095992,0.30086668182081744,19
PPM1G,C-604 2 uM endpoint vs dependency strength,689,0.12858033108569752,0.0007169737840542583,0.30086668182081744,20
CAMK1G,C-604 2 uM endpoint vs dependency strength,689,0.12534839860430172,0.0009762425909316308,0.3436506800109499,21
RAD50,C-604 2 uM endpoint vs dependency strength,689,0.12499091878275992,0.001009709165888546,0.3436923736997805,22
ISG20L2,C-604 2 uM endpoint vs dependency strength,689,0.12489579071648653,0.0010187916918738046,0.3436923736997805,23
STAT5B,C-604 2 uM endpoint vs dependency strength,689,0.12427671262268097,0.0010797669199049732,0.35725749724932815,24
RAI1,C-604 2 uM endpoint vs dependency strength,689,0.12297164018307377,0.0012194928489377575,0.38147953574498394,25
FANCI,C-604 2 uM endpoint vs dependency strength,689,0.12217377325262078,0.001312934521239184,0.3962989199635116,26
FANCL,C-604 2 uM endpoint vs dependency strength,689,0.12131507548365458,0.0014208336187385537,0.39808993956386485,27
ZWINT,C-604 2 uM endpoint vs dependency strength,689,0.12077257812517328,0.0014931443227489884,0.39808993956386485,28
XRCC2,C-604 2 uM endpoint vs dependency strength,689,0.1200738102034607,0.0015912695658542946,0.39808993956386485,29
SP1,C-604 2 uM endpoint vs dependency strength,689,0.11989959651039864,0.0016166392852779827,0.39808993956386485,30
LIG1,C-604 2 uM endpoint vs dependency strength,689,0.11959435066590238,0.0016619878365393553,0.39808993956386485,31
TCEAL5,C-604 2 uM endpoint vs dependency strength,689,0.11958276620262981,0.0016637316525430345,0.39808993956386485,32
MYC,C-604 2 uM endpoint vs dependency strength,689,0.1195777614999715,0.0016644855328067168,0.39808993956386485,33
PTMA,C-604 2 uM endpoint vs dependency strength,689,0.11875903470029028,0.0017921222354145574,0.40504373545855943,34
UROS,C-604 2 uM endpoint vs dependency strength,689,0.11862327681396964,0.0018141340860956963,0.40504373545855943,35
CDIN1,C-604 2 uM endpoint vs dependency strength,689,0.11782717417806239,0.0019482810694119001,0.4138293308547129,36
FANCC,C-604 2 uM endpoint vs dependency strength,689,0.11697006000539881,0.002102820410510048,0.4285698359550274,37
CCDC9,C-604 2 uM endpoint vs dependency strength,689,0.11615899742803151,0.0022593063213405557,0.4285698359550274,38
FEN1,C-604 2 uM endpoint vs dependency strength,689,0.11607296072986655,0.0022765160220717833,0.4285698359550274,39
CHRNA9,C-604 2 uM endpoint vs dependency strength,689,0.11598811562758744,0.002293604641440521,0.4285698359550274,40
ADAT1,C-604 2 uM endpoint vs dependency strength,689,0.1159421877352712,0.0023029037933062014,0.4285698359550274,41
B3GNT8,C-604 2 uM endpoint vs dependency strength,689,0.11533583633408465,0.0024289464101202845,0.4285698359550274,42
RAD51D,C-604 2 uM endpoint vs dependency strength,689,0.11491933483817822,0.002519141135810469,0.4285698359550274,43
HSF4,C-604 2 uM endpoint vs dependency strength,689,0.11468297123030169,0.0025716759147593822,0.4285698359550274,44
PHYHIP,C-604 2 uM endpoint vs dependency strength,689,0.1143524421665901,0.0026468171892155626,0.4285698359550274,45
SMIM15,C-604 2 uM endpoint vs dependency strength,689,0.11431343427421226,0.0026558159670917085,0.4285698359550274,46
DENND10,C-604 2 uM endpoint vs dependency strength,689,0.11424188902040475,0.0026723933815455928,0.4285698359550274,47
CENPU,C-604 2 uM endpoint vs dependency strength,689,0.11395570877457659,0.0027396507062410302,0.4285698359550274,48
EFNB3,C-604 2 uM endpoint vs dependency strength,689,0.11394232706662423,0.00274283307818219,0.4285698359550274,49
DNM2,C-604 2 uM endpoint vs dependency strength,689,0.11389815349454997,0.002753362155667146,0.4285698359550274,50
SYNCRIP,C-604 2 uM endpoint vs dependency strength,689,0.11344454859497172,0.002863633361741592,0.4285698359550274,51
MYO7A,C-604 2 uM endpoint vs dependency strength,689,0.11321986020287603,0.0029197317688565523,0.4285698359550274,52
TUBG1,C-604 2 uM endpoint vs dependency strength,689,0.11314649250545902,0.0029382652412734372,0.4285698359550274,53
SMAP1,C-604 2 uM endpoint vs dependency strength,689,0.11313228216025761,0.0029418672875046233,0.4285698359550274,54
SULT2B1,C-604 2 uM endpoint vs dependency strength,689,0.11289322073279347,0.003003070591662645,0.4285698359550274,55
IRF2BP2,C-604 2 uM endpoint vs dependency strength,689,0.11265226887502093,0.003065928553923972,0.4285698359550274,56
DNAJC2,C-604 2 uM endpoint vs dependency strength,689,0.11228832501103454,0.0031631439399407374,0.4285698359550274,57
ABTB2,C-604 2 uM endpoint vs dependency strength,689,0.1120182989021362,0.003237074989732553,0.4285698359550274,58
LIG3,C-604 2 uM endpoint vs dependency strength,689,0.11175199463418509,0.0033115223192608685,0.4285698359550274,59
GAK,C-604 2 uM endpoint vs dependency strength,689,0.11161121508399409,0.00335150390450931,0.43031809460509457,60
KLLN,C-604 2 uM endpoint vs dependency strength,689,0.11130564671532729,0.0034397990044176758,0.4383832731185638,61
SMR3B,C-604 2 uM endpoint vs dependency strength,689,0.1103973698170648,0.003714864292714369,0.4514138956114569,62
NMT1,C-604 2 uM endpoint vs dependency strength,689,0.11032605833771032,0.0037372832749505815,0.4514138956114569,63
FGFR1OP2,C-604 2 uM endpoint vs dependency strength,689,0.11026332888638193,0.0037571056030965082,0.4514138956114569,64
SREBF1,C-604 2 uM endpoint vs dependency strength,689,0.1099362237516135,0.0038620232531357238,0.4514138956114569,65
WDR45,C-604 2 uM endpoint vs dependency strength,689,0.10992645613723367,0.003865196618262916,0.4514138956114569,66
ZNF396,C-604 2 uM endpoint vs dependency strength,689,0.10955476920947498,0.003987723021877723,0.4514138956114569,67
PLB1,C-604 2 uM endpoint vs dependency strength,689,0.10950133877976993,0.004005622717187675,0.4514138956114569,68
WDR4,C-604 2 uM endpoint vs dependency strength,689,0.1093264089570041,0.004064736252364527,0.4514138956114569,69
DMRT3,C-604 2 uM endpoint vs dependency strength,689,0.10886102613677108,0.004225868225341028,0.4514138956114569,70
TMEM253,C-604 2 uM endpoint vs dependency strength,689,0.10885491417955202,0.004228022329498869,0.4514138956114569,71
GPR19,C-604 2 uM endpoint vs dependency strength,689,0.10857111512787239,0.0043291457886554105,0.4514138956114569,72
POLG2,C-604 2 uM endpoint vs dependency strength,689,0.1083438893773691,0.004411682707362458,0.4514138956114569,73
ITIH4,C-604 2 uM endpoint vs dependency strength,689,0.10815177343667584,0.004482573788495177,0.4514138956114569,74
MAPK6,C-604 2 uM endpoint vs dependency strength,689,0.10797813054467761,0.00454753266494366,0.4514138956114569,75
RFWD3,C-604 2 uM endpoint vs dependency strength,689,0.10782836028955783,0.004604243022171196,0.4514138956114569,76
PIDD1,C-604 2 uM endpoint vs dependency strength,689,0.1075305126333897,0.0047189257664363065,0.4514138956114569,77
HEATR1,C-604 2 uM endpoint vs dependency strength,689,0.10743510636763702,0.0047562027202025636,0.4514138956114569,78
SRPK1,C-604 2 uM endpoint vs dependency strength,689,0.10739230590215885,0.004773011882066691,0.4514138956114569,79
KCTD9,C-604 2 uM endpoint vs dependency strength,689,0.1073902904451372,0.004773804739804004,0.4514138956114569,80
SLMAP,C-604 2 uM endpoint vs dependency strength,689,0.1072102111540338,0.004845127767779474,0.4514138956114569,81
POLM,C-604 2 uM endpoint vs dependency strength,689,0.1070557181670442,0.004907082121887894,0.4514138956114569,82
ERV3_1,C-604 2 uM endpoint vs dependency strength,689,0.10693247374461827,0.004957016989918687,0.4514138956114569,83
NOB1,C-604 2 uM endpoint vs dependency strength,689,0.10666669022489887,0.005066268307712626,0.45636202216856403,84
MCM9,C-604 2 uM endpoint vs dependency strength,689,0.106189675597442,0.005267807127730393,0.463879586006064,85
KDM4E,C-604 2 uM endpoint vs dependency strength,689,0.10604235639083541,0.005331494110284503,0.463879586006064,86
RPL36AL,C-604 2 uM endpoint vs dependency strength,689,0.10564840033950244,0.00550522619751255,0.463879586006064,87
CREB1,C-604 2 uM endpoint vs dependency strength,689,0.10557120314635426,0.005539861145228092,0.463879586006064,88
ZNF169,C-604 2 uM endpoint vs dependency strength,689,0.10548421036532275,0.005579125972787044,0.463879586006064,89
DIAPH1,C-604 2 uM endpoint vs dependency strength,689,0.10504285973488328,0.005782219371199839,0.463879586006064,90
TBC1D28,C-604 2 uM endpoint vs dependency strength,689,0.10500873656546969,0.005798195249133512,0.463879586006064,91
JMY,C-604 2 uM endpoint vs dependency strength,689,0.10481898556705656,0.005887759933817149,0.463879586006064,92
BHLHA15,C-604 2 uM endpoint vs dependency strength,689,0.10474571032639088,0.005922678397603227,0.463879586006064,93
