gene,profile,n_models,pearson_r,p_value,fdr,rank_positive
CDAN1,MASTL dependency strength vs dependency strength,1165,0.23046149388224277,1.6502846752313984e-15,1.4195748776340489e-11,1
BIRC5,MASTL dependency strength vs dependency strength,1165,0.2014582804695834,3.918619297663958e-12,2.2471975465670242e-08,2
POT1,MASTL dependency strength vs dependency strength,1165,0.19571071760560466,1.6046151645229512e-11,6.901449822613214e-08,3
PTTG1,MASTL dependency strength vs dependency strength,1165,0.18858653394927,8.684110760234422e-11,2.978761803022479e-07,4
TINF2,MASTL dependency strength vs dependency strength,1165,0.1878140401588885,1.0388613588778699e-10,2.978761803022479e-07,5
RPL11,MASTL dependency strength vs dependency strength,1165,0.1805484141180313,5.402043359515238e-10,1.3276679136728594e-06,6
STN1,MASTL dependency strength vs dependency strength,1165,0.16557666399779478,1.3104768553882737e-08,1.880417905891194e-05,7
SMC2,MASTL dependency strength vs dependency strength,1165,0.16336322622627794,2.0508577427592402e-08,2.7140735851099978e-05,8
AAR2,MASTL dependency strength vs dependency strength,1165,0.15269634996150197,1.6321588259216295e-07,0.0001559981135619762,9
MEIOB,MASTL dependency strength vs dependency strength,1165,0.15108119780600326,2.2076082878120159e-07,0.0001898984649175896,10
KDM8,MASTL dependency strength vs dependency strength,1165,0.14798633266927136,3.9031602061800443e-07,0.0002919563834222673,11
MVD,MASTL dependency strength vs dependency strength,1165,0.14746532365824935,4.291288424271238e-07,0.0003076138585465099,12
FDXR,MASTL dependency strength vs dependency strength,1165,0.1456732112417414,5.930909321437524e-07,0.0003644120141643256,13
GAPDH,MASTL dependency strength vs dependency strength,1165,0.14477025334558044,6.970986323281188e-07,0.0004135477541576881,14
SLC5A3,MASTL dependency strength vs dependency strength,1165,0.14451211292434055,7.299235444651807e-07,0.0004185868219659656,15
SUMF1,MASTL dependency strength vs dependency strength,1165,0.14287311247582807,9.75766850480609e-07,0.0005086997847172243,16
ECT2,MASTL dependency strength vs dependency strength,1165,0.14188459530607941,1.1606613575983539e-06,0.0005770385420482151,17
CDIN1,MASTL dependency strength vs dependency strength,1165,0.14181958970088818,1.1739333278125744e-06,0.0005770385420482151,18
DHX40,MASTL dependency strength vs dependency strength,1165,0.14042705864718613,1.4958748139746033e-06,0.0006431286545913597,19
CBFB,MASTL dependency strength vs dependency strength,1165,0.14026227824702261,1.53915845935756e-06,0.0006431286545913597,20
MRE11,MASTL dependency strength vs dependency strength,1165,0.14025370966068126,1.5414417919770341e-06,0.0006431286545913597,21
GET3,MASTL dependency strength vs dependency strength,1165,0.1400471685521802,1.5974746327098926e-06,0.0006431286545913597,22
ZNF610,MASTL dependency strength vs dependency strength,1165,0.13966682754787563,1.7058140037662661e-06,0.0006669732754726101,23
TRMO,MASTL dependency strength vs dependency strength,1165,0.13936125709966346,1.7979301159870344e-06,0.000687368660343132,24
AURKB,MASTL dependency strength vs dependency strength,1165,0.13882628164284963,1.970812990470488e-06,0.0007170608079646834,25
USP28,MASTL dependency strength vs dependency strength,1165,0.1386762167386305,2.022103655913449e-06,0.0007170608079646834,26
PGD,MASTL dependency strength vs dependency strength,1165,0.13861808510896198,2.042314554189112e-06,0.0007170608079646834,27
TOP2A,MASTL dependency strength vs dependency strength,1165,0.1384547049093272,2.1001607200430713e-06,0.0007226233005524199,28
CCDC6,MASTL dependency strength vs dependency strength,1165,0.13832383586120903,2.147626425821647e-06,0.0007244659809771689,29
TONSL,MASTL dependency strength vs dependency strength,1165,0.1381191937765915,2.223917911109978e-06,0.000735774687360309,30
WDR12,MASTL dependency strength vs dependency strength,1165,0.13776024698778158,2.364054539227724e-06,0.0007503781100392862,31
MIS18A,MASTL dependency strength vs dependency strength,1165,0.13765594542426404,2.406337565408174e-06,0.0007503781100392862,32
MBNL1,MASTL dependency strength vs dependency strength,1165,0.13756806997881565,2.4425234923389923e-06,0.0007503781100392862,33
HLA_E,MASTL dependency strength vs dependency strength,1165,0.13704282360803555,2.6699357776350995e-06,0.0008058521950602501,34
TMEM50A,MASTL dependency strength vs dependency strength,1165,0.13559157562613205,3.408660559662508e-06,0.0009939423096344709,35
BAG3,MASTL dependency strength vs dependency strength,1165,0.13505566662196772,3.7280620314074397e-06,0.001037659305028201,36
TP53,MASTL dependency strength vs dependency strength,1165,0.1350372534036486,3.7395301622732197e-06,0.001037659305028201,37
MRPS15,MASTL dependency strength vs dependency strength,1165,0.13476168718879203,3.915246087456442e-06,0.0010691729156920733,38
WDR77,MASTL dependency strength vs dependency strength,1165,0.13190965864568469,6.264132023605646e-06,0.0014762757169056375,39
PDE5A,MASTL dependency strength vs dependency strength,1165,0.13144273216679403,6.758935324692638e-06,0.0015026840701660709,40
ZSCAN4,MASTL dependency strength vs dependency strength,1165,0.13134038730542813,6.8722728213405935e-06,0.0015026840701660709,41
RUNX1,MASTL dependency strength vs dependency strength,1165,0.130675082307539,7.654516230333439e-06,0.0015974120303892904,42
LRR1,MASTL dependency strength vs dependency strength,1165,0.1306024359043428,7.744905732631024e-06,0.0015974120303892904,43
NCAPH,MASTL dependency strength vs dependency strength,1165,0.1292126013519925,9.683584038414133e-06,0.00191490091720548,44
FURIN,MASTL dependency strength vs dependency strength,1165,0.1290896950767135,9.875709632578654e-06,0.0019263999914915437,45
DAW1,MASTL dependency strength vs dependency strength,1165,0.12896178770543304,1.0079511465371125e-05,0.0019267546138916093,46
SCARF1,MASTL dependency strength vs dependency strength,1165,0.1282339764687036,1.1317714430828782e-05,0.002116412598564982,47
ITCH,MASTL dependency strength vs dependency strength,1165,0.1281424563798955,1.1483310105467477e-05,0.002124288893058736,48
AGFG1,MASTL dependency strength vs dependency strength,1165,0.12679354726818318,1.4208568695315583e-05,0.0024028551701426016,49
CTC1,MASTL dependency strength vs dependency strength,1165,0.12540384147820863,1.7654752305888976e-05,0.002744593042677977,50
ELOVL2,MASTL dependency strength vs dependency strength,1165,0.12539791760730143,1.7671017021414427e-05,0.002744593042677977,51
METTL14,MASTL dependency strength vs dependency strength,1165,0.12538472649719198,1.770728607521994e-05,0.002744593042677977,52
FBXW11,MASTL dependency strength vs dependency strength,1165,0.12531243036654555,1.7907326120093336e-05,0.002744593042677977,53
RPL5,MASTL dependency strength vs dependency strength,1165,0.1249834190840065,1.8845157344299916e-05,0.0027835890359362955,54
EIF4A1,MASTL dependency strength vs dependency strength,1165,0.12495426490923471,1.893047647085251e-05,0.0027835890359362955,55
CT83,MASTL dependency strength vs dependency strength,1165,0.12445116704849608,2.0461943155937233e-05,0.0029335605837895345,56
RPL22,MASTL dependency strength vs dependency strength,1165,0.12410825706916008,2.157253624310902e-05,0.003023025055485742,57
DPH6,MASTL dependency strength vs dependency strength,1165,0.12408856358242902,2.1638027766497084e-05,0.003023025055485742,58
CIAO1,MASTL dependency strength vs dependency strength,1165,0.12388384334193504,2.233012314878738e-05,0.0030733395092139046,59
ACTR3B,MASTL dependency strength vs dependency strength,1165,0.12336578158708787,2.417675185952549e-05,0.003275093220403752,60
PRAG1,MASTL dependency strength vs dependency strength,1165,0.12311835899338544,2.5109042844162557e-05,0.003327541750427161,61
IL18,MASTL dependency strength vs dependency strength,1165,0.12305519849203195,2.5352447829686587e-05,0.003327541750427161,62
ANKS3,MASTL dependency strength vs dependency strength,1165,0.12301826925819875,2.5495800660619184e-05,0.003327541750427161,63
MIER2,MASTL dependency strength vs dependency strength,1165,0.1228901302381939,2.599920835090668e-05,0.0033630855674360795,64
H2BC14,MASTL dependency strength vs dependency strength,1165,0.12246106273610209,2.775446481802638e-05,0.0034882736365555384,65
FLI1,MASTL dependency strength vs dependency strength,1165,0.12219294277741793,2.890782145684033e-05,0.003569599620284487,66
ANGPT2,MASTL dependency strength vs dependency strength,1165,0.12218208645374351,2.895546685117836e-05,0.003569599620284487,67
DARS1,MASTL dependency strength vs dependency strength,1165,0.12119366166076737,3.361998488084379e-05,0.00401665430479192,68
TOP3A,MASTL dependency strength vs dependency strength,1165,0.12097653523172765,3.4736063415140544e-05,0.004093145445164917,69
GGPS1,MASTL dependency strength vs dependency strength,1165,0.12036669301087898,3.80617869121607e-05,0.004424425554302789,70
PRC1,MASTL dependency strength vs dependency strength,1165,0.12013838092942844,3.93828287394314e-05,0.004487034341941575,71
ARHGAP45,MASTL dependency strength vs dependency strength,1165,0.11957582418745358,4.282577722240941e-05,0.004714678138303865,72
DCAF15,MASTL dependency strength vs dependency strength,1165,0.11954457776087221,4.302513762576766e-05,0.004714678138303865,73
PKM,MASTL dependency strength vs dependency strength,1165,0.11947265533921889,4.348736789323628e-05,0.004735168843260993,74
FDPS,MASTL dependency strength vs dependency strength,1165,0.11913465729322814,4.5723323899917896e-05,0.0048268028133409855,75
MPG,MASTL dependency strength vs dependency strength,1165,0.11864767242025831,4.9137076158685506e-05,0.00506200154631153,76
GTF2H4,MASTL dependency strength vs dependency strength,1165,0.11819685228987868,5.251121045838824e-05,0.005345579081219593,77
TP53BP1,MASTL dependency strength vs dependency strength,1165,0.11784740216687474,5.5276286953339654e-05,0.005545185244923818,78
PLEKHA6,MASTL dependency strength vs dependency strength,1165,0.11781284985810565,5.555704800443008e-05,0.005545185244923818,79
RPLP1,MASTL dependency strength vs dependency strength,1165,0.11778781945557601,5.5761279200873084e-05,0.005545185244923818,80
